isogroup gene ontology,
TRINITY_DN39905_c0_g1,GO:0005813;GO:0036464;GO:0005634;GO:0005886;GO:0031616;GO:0005524;GO:0046872;GO:0044822;GO:0004672;GO:0004674;GO:0072518;GO:0030036;GO:0071394;GO:0051298;GO:0030866;GO:0048813;GO:0090002;GO:0008625;GO:0007249;GO:0016525;GO:1903347;GO:0035509;GO:0001843;GO:0010825;GO:0010595;GO:0010628;GO:0001934;GO:0006468;GO:0032956;GO:0042752;GO:1903140;GO:0045616;GO:0007266;GO:0048511;GO:0006939;GO:0039694
TRINITY_DN25196_c1_g1,GO:0003964;GO:0006313
TRINITY_DN4585_c0_g1,GO:0005615;GO:0016021;GO:0031430;GO:0005815;GO:0042383;GO:0030018;GO:0006936;GO:0072659;GO:1900825;GO:1902305;GO:1905150
TRINITY_DN34420_c0_g1,GO:0071013;GO:0071011;GO:0005685;GO:0005686;GO:0046540;GO:0005682;GO:0000387
TRINITY_DN24713_c0_g1,GO:0005576;GO:0004556;GO:0046872;GO:0005975
TRINITY_DN11526_c0_g1,GO:0005737;GO:0005634;GO:0070694;GO:0050144;GO:0009159;GO:0009117;GO:0030307
TRINITY_DN3075_c0_g1,GO:0005811;GO:0005875;GO:0005739;GO:0005524;GO:0051082;GO:0070584;GO:0000422;GO:0010918;GO:0006457
TRINITY_DN39787_c0_g1,GO:0005814;GO:0005813;GO:0005869;GO:0030286;GO:0005874;GO:0035371;GO:0005819;GO:0008017;GO:0003774;GO:0031122;GO:0090316;GO:0010970
TRINITY_DN6512_c0_g1,GO:0005634;GO:0003677;GO:0042802;GO:0003714;GO:0008134;GO:0000122;GO:0006351
TRINITY_DN33593_c0_g1,GO:0005813;GO:0005737;GO:0000922
TRINITY_DN33689_c0_g1,GO:0005712;GO:0032389;GO:0005634;GO:0000795;GO:0005524;GO:0016887;GO:0003677;GO:0030983;GO:0003697;GO:0006298;GO:0042493
TRINITY_DN24749_c0_g1,
TRINITY_DN26974_c0_g1,GO:0005913;GO:0005737;GO:0005829;GO:0005654;GO:0048471;GO:0005886;GO:0005524;GO:0098641;GO:0042802;GO:0004672;GO:0019901;GO:0004674;GO:0030296;GO:0004702;GO:0006915;GO:0071407;GO:0060996;GO:0038095;GO:0000278;GO:0043066;GO:2001271;GO:0006469;GO:0018105;GO:0016310;GO:2001238;GO:0050731;GO:0046777;GO:0006468;GO:0050690;GO:0040008;GO:0007165;GO:0002223;GO:0031295;GO:0050852;GO:0048010;GO:0016032
TRINITY_DN39164_c0_g1,GO:0005788;GO:0005789;GO:0005528;GO:0003755;GO:0061077
TRINITY_DN36533_c0_g1,GO:0005913;GO:0016282;GO:0005739;GO:0005634;GO:0005524;GO:0004004;GO:0098641;GO:0044822;GO:0043024;GO:0003743;GO:0006396
TRINITY_DN22041_c0_g1,GO:0022626;GO:0005743;GO:0005762;GO:0044822;GO:0003723;GO:0003735;GO:0070125;GO:0070124;GO:0006412
TRINITY_DN28101_c0_g1,GO:0030659;GO:0016021;GO:0005044;GO:0045087;GO:0006909
TRINITY_DN23877_c0_g1,GO:0005737;GO:0004364
TRINITY_DN30320_c0_g1,GO:0030016;GO:0032982;GO:0005524;GO:0003774
TRINITY_DN25054_c0_g1,GO:0005737;GO:0005634;GO:0030332;GO:0042393;GO:0030154;GO:0006334;GO:0045944;GO:0060215;GO:0051260;GO:0007283;GO:0006351
TRINITY_DN40013_c0_g1,GO:0005813;GO:0036064;GO:0005929;GO:0005737;GO:0005829;GO:0016020;GO:0051959;GO:0031267;GO:0060271;GO:0003382;GO:1903445;GO:1901214
TRINITY_DN29674_c0_g1,GO:0005509
TRINITY_DN9763_c0_g1,GO:0005576
TRINITY_DN34892_c0_g1,GO:0005576
TRINITY_DN277_c0_g1,GO:0003964;GO:0006313
TRINITY_DN29637_c0_g1,GO:0005509
TRINITY_DN25709_c0_g1,GO:0016324;GO:0005905;GO:0030139;GO:0016021;GO:0005509;GO:0015248;GO:0042395;GO:0006897;GO:0002119;GO:0040017;GO:0040018;GO:0030334;GO:0015918
TRINITY_DN36735_c0_g1,GO:0005859;GO:0005863;GO:0051015;GO:0005524;GO:0000146;GO:0008307;GO:0048017;GO:0040011;GO:0006936;GO:0018991;GO:0043050;GO:0030241
TRINITY_DN26880_c0_g1,GO:0004867
TRINITY_DN28056_c0_g1,GO:0005938;GO:0005829;GO:0030425;GO:0043025;GO:0005524;GO:0004703;GO:0050254;GO:0002029;GO:0002031;GO:0006468;GO:0007165
TRINITY_DN5515_c0_g1,GO:0070062
TRINITY_DN11960_c0_g1,GO:0005737;GO:0005856;GO:0005524
TRINITY_DN38101_c0_g1,GO:0005929;GO:0019899;GO:0046872;GO:0008589
TRINITY_DN11967_c0_g1,GO:0022625;GO:0005634;GO:0030687;GO:0003676;GO:0008270;GO:0042273
TRINITY_DN11955_c0_g1,GO:0016021;GO:0005743;GO:0045277;GO:0004129;GO:0020037;GO:0005506;GO:0009060;GO:0006119
TRINITY_DN37536_c0_g1,GO:0005814;GO:0005929;GO:0005874;GO:0005524;GO:0003777;GO:0010457;GO:0060271;GO:0034454;GO:0007018
TRINITY_DN541_c0_g1,GO:0005737;GO:0004427;GO:0000287;GO:0006796
TRINITY_DN12798_c0_g1,GO:0005737;GO:0070062;GO:0016020;GO:0005654;GO:0005634;GO:0022624;GO:0000502;GO:0005838;GO:0008541;GO:0030234;GO:0042176;GO:0006511
TRINITY_DN6424_c0_g1,GO:0005759;GO:0008442;GO:0051287;GO:0004616;GO:0009083;GO:0006574
TRINITY_DN25624_c0_g1,GO:0005811;GO:0005751;GO:0005739;GO:0004129;GO:0046872;GO:0006123;GO:0007406;GO:0045787
TRINITY_DN28503_c0_g1,
TRINITY_DN35348_c0_g1,GO:0060170;GO:0005929;GO:0005622;GO:0005525;GO:0060271;GO:0021943;GO:0021830;GO:0021532;GO:1905515;GO:0035845;GO:0007264;GO:0007224
TRINITY_DN36649_c0_g1,GO:0005840;GO:0019843;GO:0003735;GO:0006412
TRINITY_DN34287_c0_g1,GO:0005737;GO:0005730;GO:0005654;GO:0005634;GO:0032993;GO:0031490;GO:0003677;GO:0032452;GO:0016706;GO:0003713;GO:0003700;GO:0008270;GO:0032922;GO:0034720;GO:0008584;GO:1901726;GO:0000122;GO:0045893;GO:0007283;GO:0006366
TRINITY_DN25052_c0_g1,GO:0005930;GO:0005929;GO:0005737;GO:0005874;GO:0015630;GO:0005524;GO:0070735;GO:0070736;GO:0070738;GO:0035082;GO:0060271;GO:0003341;GO:0018094
TRINITY_DN32102_c0_g1,GO:0005793;GO:0005794;GO:0005811;GO:0016020;GO:0005086;GO:0008289;GO:0015031;GO:0032012
TRINITY_DN4623_c0_g1,GO:0031225;GO:0009986;GO:0005615;GO:0005886;GO:0004867;GO:0050431;GO:0001942;GO:0010839;GO:0001933;GO:0030512;GO:0061045;GO:0072675;GO:0045616
TRINITY_DN30680_c0_g1,GO:0030054;GO:0005829;GO:0070062;GO:0005615;GO:0005654;GO:0005125;GO:0008144;GO:0047280;GO:0004514;GO:0007267;GO:0032922;GO:0007623;GO:0007565;GO:0009435;GO:0006769;GO:0008284;GO:0051770;GO:0048661;GO:0045944;GO:0014070;GO:0007165
TRINITY_DN38962_c0_g1,GO:0005615;GO:0005886;GO:0004867
TRINITY_DN38452_c0_g1,GO:0005814;GO:0000793;GO:0009330;GO:0000228;GO:0005730;GO:0005654;GO:0005634;GO:0043234;GO:0005524;GO:0003682;GO:0003677;GO:0008301;GO:0003918;GO:0008094;GO:0008144;GO:0019899;GO:0042826;GO:0000287;GO:0044822;GO:0008022;GO:0046982;GO:0042803;GO:0005080;GO:0043130;GO:0030263;GO:0006974;GO:0030261;GO:0007059;GO:0006266;GO:0006265;GO:0006268;GO:0040016;GO:0002244;GO:0044774;GO:0006312;GO:0043065;GO:0045870;GO:0045944;GO:0045070;GO:0016925;GO:0042752;GO:0000712;GO:0048511;GO:0000819
TRINITY_DN19559_c0_g1,GO:0044822;GO:0008283;GO:0007165
TRINITY_DN3116_c0_g1,GO:0030424;GO:0005737;GO:0030425;GO:0048471;GO:0048675;GO:0035147;GO:0007476;GO:0002165;GO:0050768;GO:0035155;GO:0022008;GO:1904799;GO:0016246;GO:0035071;GO:0007430
TRINITY_DN7789_c0_g1,GO:0004864;GO:0005977;GO:0043666;GO:0009966
TRINITY_DN37806_c0_g1,GO:0030686;GO:0005730;GO:0005654;GO:0005634;GO:0005524;GO:0005525;GO:0003924;GO:0044822;GO:0034511;GO:0000479;GO:0000462;GO:0042255;GO:0006364
TRINITY_DN23419_c0_g1,GO:0015935;GO:0003723;GO:0003735;GO:0006412
TRINITY_DN37238_c0_g1,GO:0015934;GO:0003735;GO:0006412
TRINITY_DN35186_c0_g1,GO:0005681;GO:0003723;GO:0006397;GO:0008380
TRINITY_DN4576_c0_g1,GO:0030054;GO:0016021;GO:0043005;GO:0030672;GO:0016192
TRINITY_DN26818_c0_g1,GO:0005743;GO:0005762;GO:0005739;GO:0003723;GO:0003735;GO:0070125;GO:0070126;GO:0045893;GO:0006390
TRINITY_DN22464_c0_g1,GO:0005832;GO:0005874;GO:0005524;GO:0044183;GO:0051082;GO:0006458;GO:0061077
TRINITY_DN6834_c0_g1,GO:0005737;GO:0005871;GO:0005874;GO:0003777
TRINITY_DN16915_c0_g1,GO:0005509
TRINITY_DN7649_c0_g1,GO:0005739;GO:0051539;GO:0003994;GO:0046872;GO:0006099
TRINITY_DN24132_c0_g1,GO:0005829;GO:0070062;GO:0030529;GO:0005654;GO:0005634;GO:0003680;GO:0003682;GO:0035925;GO:0000166;GO:0044822;GO:0003723;GO:0042162;GO:0061158;GO:0071230;GO:0071392;GO:0071732;GO:1904586;GO:0021549;GO:0097167;GO:0010467;GO:1990828;GO:0001889;GO:0000398;GO:0048255;GO:0042789;GO:0010628;GO:1905663;GO:1904355;GO:0045893;GO:0045727;GO:0042752;GO:0043488;GO:0006355;GO:0051592;GO:0042493;GO:0051602;GO:1901355;GO:1904383;GO:0006401;GO:0006396;GO:0000723;GO:0006351
TRINITY_DN20740_c0_g1,GO:0005524;GO:0016787
TRINITY_DN10943_c0_g1,GO:0009507;GO:0015935;GO:0019843;GO:0003735;GO:0006412
TRINITY_DN18122_c0_g1,GO:0070062;GO:0005739;GO:0043209;GO:0016209;GO:0004601;GO:0008430;GO:0008379;GO:0000187;GO:0045454;GO:0034599;GO:0048872;GO:0042744;GO:0042743;GO:2001237;GO:2001240;GO:0031665;GO:0032088;GO:2000378;GO:0045581;GO:0030194;GO:0042981;GO:0010310;GO:0019430;GO:0002536;GO:0032496;GO:0006979;GO:0042098;GO:0048538
TRINITY_DN9448_c0_g1,GO:0005730;GO:0005681;GO:0050681;GO:0005524;GO:0030331;GO:0003723;GO:0003724;GO:0003713;GO:0072332;GO:0006397;GO:0000122;GO:0043517;GO:0045944;GO:0000381;GO:0060765;GO:0045667;GO:2001014;GO:0048511;GO:0008380;GO:0006351
TRINITY_DN6970_c0_g1,GO:0046872;GO:0003964
TRINITY_DN2442_c0_g1,GO:0033018;GO:0005509;GO:0030246;GO:0006457;GO:0050821
TRINITY_DN772_c0_g1,GO:0004602;GO:0006979
TRINITY_DN26657_c0_g1,
TRINITY_DN7002_c0_g1,GO:0016021
TRINITY_DN11251_c0_g1,
TRINITY_DN1029_c0_g1,GO:0005576;GO:0030246
TRINITY_DN33630_c0_g1,GO:0031410;GO:0005794;GO:0005634;GO:0070530;GO:0046872;GO:0006914;GO:0007409;GO:0090161;GO:0000042;GO:0043122;GO:0051648
TRINITY_DN4380_c0_g1,GO:0005581;GO:0005578;GO:0005201;GO:0046872
TRINITY_DN36345_c0_g1,GO:0005634;GO:0000159;GO:0019888;GO:0007165
TRINITY_DN30609_c0_g1,GO:0005737;GO:0005856;GO:0019898;GO:0043234;GO:0097060;GO:0005102;GO:0005200;GO:0031032;GO:0030866
TRINITY_DN36641_c0_g1,GO:0005829;GO:0005524;GO:0046872;GO:0004637;GO:0004641;GO:0004644;GO:0006189;GO:0009113
TRINITY_DN30647_c0_g1,GO:0005840;GO:0003735;GO:0006412
TRINITY_DN8053_c0_g1,GO:0005737;GO:0005654;GO:0016929;GO:0016926;GO:0070646;GO:0016925;GO:0090234;GO:0090169
TRINITY_DN6540_c0_g1,GO:0016021;GO:0005743;GO:0070469;GO:0008137;GO:0042773
TRINITY_DN33889_c0_g1,GO:0005747;GO:0008137;GO:0022904
TRINITY_DN11203_c0_g1,GO:0000777;GO:0071821;GO:0043240;GO:0003682;GO:0003690;GO:0051301;GO:0036297;GO:0051382;GO:0007067;GO:0006312;GO:0031297;GO:0000712
TRINITY_DN35530_c0_g1,
TRINITY_DN7008_c0_g1,GO:0005737;GO:0005829;GO:0005875;GO:0005634;GO:0003755;GO:0048102;GO:0006457;GO:0035071
TRINITY_DN20704_c1_g1,GO:0045179;GO:0009898;GO:0070062;GO:0005889;GO:0005764;GO:0005739;GO:0032428;GO:0004563;GO:0008047;GO:0005319;GO:0016004;GO:0006689;GO:0007611;GO:0019915;GO:0050877;GO:0050885;GO:0009313;GO:0051345
TRINITY_DN38858_c0_g1,GO:0005759;GO:0005739;GO:0003995;GO:0009055;GO:0000062;GO:0050660;GO:0052890;GO:0016937;GO:0006637;GO:0006635;GO:0033539;GO:0006631;GO:0055088
TRINITY_DN33000_c0_g1,GO:0005930;GO:0036064;GO:0005929;GO:0005737;GO:0030992;GO:0005871;GO:0005874;GO:0015630;GO:1990075;GO:0032391;GO:0005524;GO:0008574;GO:0003777;GO:0030030;GO:0042073;GO:0007018;GO:0007017;GO:0022008;GO:0031503;GO:0016192
TRINITY_DN27546_c0_g1,GO:0005829;GO:0031965;GO:0046982;GO:0007049;GO:0030500;GO:0051726;GO:0010564;GO:0006355;GO:0006351
TRINITY_DN3737_c0_g1,GO:0031672;GO:0005524;GO:0046872;GO:0004674;GO:0051782;GO:0018105;GO:0018107
TRINITY_DN7088_c0_g1,GO:0005737;GO:0005856;GO:0005524
TRINITY_DN39985_c0_g1,GO:0005737;GO:0005829;GO:0016020;GO:0005634;GO:1904288;GO:1903071;GO:0016032
TRINITY_DN4988_c0_g1,GO:0005615;GO:0030246;GO:0008061;GO:0004553;GO:0005975
TRINITY_DN1171_c0_g1,GO:0005789;GO:0016021;GO:0000254;GO:0005506;GO:0006633;GO:0016126
TRINITY_DN6560_c0_g1,GO:0005737;GO:0005634;GO:0042835;GO:0003676;GO:0000166;GO:0003723;GO:0000900;GO:0000380
TRINITY_DN4896_c0_g1,GO:0005739
TRINITY_DN5951_c0_g1,GO:0005737;GO:0005853;GO:0005811;GO:0005875;GO:0005634;GO:0004364;GO:0003746;GO:0048102;GO:0006749;GO:0035071;GO:0006414
TRINITY_DN20238_c0_g1,GO:0005737;GO:0004801;GO:0005975;GO:0006098
TRINITY_DN3323_c0_g1,GO:0005788;GO:0042470;GO:0005524;GO:0030433;GO:0006457
TRINITY_DN33833_c0_g1,GO:0034451;GO:0046872;GO:0036159;GO:0044458;GO:0036158
TRINITY_DN32575_c0_g1,
TRINITY_DN39747_c0_g1,GO:0097729;GO:0005930;GO:0036064;GO:0005929;GO:0005794;GO:0005874;GO:0015630;GO:0031514;GO:0036126;GO:0008017;GO:0017137;GO:0035082;GO:0007420;GO:0034613;GO:0060294;GO:0007368;GO:0003351;GO:0030317;GO:1904526
TRINITY_DN36532_c0_g1,GO:0005737;GO:0000408;GO:0005634;GO:0046872;GO:0061711;GO:0002949
TRINITY_DN1399_c0_g1,GO:0005737;GO:0016363;GO:0016607;GO:0005654;GO:0005634;GO:0016018;GO:0003755;GO:0044822;GO:0006457;GO:0008380
TRINITY_DN31129_c0_g1,GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0005739;GO:0000062;GO:0034237;GO:0006694;GO:0006810
TRINITY_DN6202_c0_g1,GO:0070062;GO:0043209;GO:0070044;GO:0043195;GO:0005774;GO:0032403;GO:0000149;GO:0005483;GO:0019905;GO:0045176;GO:0007420;GO:0006886;GO:0061025;GO:0030182;GO:0010807;GO:0035494;GO:0035249
TRINITY_DN38650_c0_g1,GO:0000788;GO:0003677;GO:0006334
TRINITY_DN1650_c0_g1,GO:0015629;GO:0005730;GO:0005634;GO:0044822;GO:0001103;GO:0001106;GO:0003713;GO:0000122;GO:0006366
TRINITY_DN4376_c0_g1,GO:0000139;GO:0017119;GO:0007030;GO:0048213;GO:0015031;GO:0000301;GO:0006890
TRINITY_DN28887_c0_g1,GO:0097602;GO:2000060
TRINITY_DN39047_c0_g1,GO:0005783;GO:0005794;GO:0005525;GO:0009792;GO:0006886;GO:0007005;GO:0048599;GO:1904748;GO:0048259;GO:0007264;GO:0016192
TRINITY_DN2852_c0_g1,GO:0005814;GO:0005813;GO:0036064;GO:0005634;GO:0030030;GO:0060026;GO:0060027;GO:0061371;GO:0060287
TRINITY_DN39133_c0_g1,GO:0005813;GO:0005737;GO:0000813;GO:0043231;GO:0031902;GO:0005654;GO:0015031;GO:0043162
TRINITY_DN24384_c0_g1,GO:0003723;GO:0003964
TRINITY_DN39032_c0_g1,GO:0005856;GO:0019897;GO:0045121;GO:0005743;GO:0005758;GO:1901612;GO:0035710;GO:0006874;GO:0032623;GO:0010876;GO:0042776;GO:0006851;GO:0034982;GO:0007005;GO:1900210;GO:0090297;GO:0010918;GO:0051259;GO:1990046;GO:0050852
TRINITY_DN16085_c0_g1,GO:0016021;GO:0008934;GO:0052832;GO:0052833;GO:0046872;GO:0006021;GO:0046854
TRINITY_DN37438_c0_g1,GO:0000777;GO:0000776;GO:0070776;GO:0035267;GO:0005730;GO:0043968;GO:0044154;GO:0043983;GO:0043981;GO:0043982;GO:0006355;GO:0006351
TRINITY_DN37539_c0_g1,GO:0005694;GO:0005634;GO:0003677;GO:0006954
TRINITY_DN11210_c0_g1,GO:0005737;GO:0016459;GO:0005509;GO:0008105;GO:0010172;GO:0030010;GO:0007110;GO:0000281;GO:0002119
TRINITY_DN34788_c0_g1,
TRINITY_DN38372_c0_g1,GO:0031362;GO:0070062;GO:0003840;GO:0006749;GO:0019370
TRINITY_DN10379_c0_g1,
TRINITY_DN37510_c0_g1,GO:0005737;GO:0016477;GO:0007010;GO:0008360
TRINITY_DN16871_c0_g1,GO:0070937;GO:0005737;GO:0005783;GO:0071204;GO:0030529;GO:0016020;GO:0043025;GO:0005654;GO:0005634;GO:1990635;GO:0005681;GO:0003730;GO:0048027;GO:0000166;GO:0007623;GO:0006397;GO:0090367;GO:0045727;GO:0008380
